Central,Upwind,Hybrid,Power Law,Analytical
1.0,1.0,1.0,1.0,1.0
0.970164878401552,0.9697574128093087,0.970164878401552,0.9701607444096744,0.9701614161735016
0.938799750567286,0.9380026962590828,0.938799750567286,0.9387916608910992,0.9387929754399108
0.9058261546389552,0.9046602438813457,0.9058261546389552,0.9058143167406513,0.9058162403583025
0.8711616050732739,0.8696506688847216,0.8711616050732739,0.8711462580907035,0.8711487519141584
0.8347193862990964,0.8328906151382665,0.8347193862990964,0.8347008037486836,0.83470382332888
0.7964083357929098,0.7942925587044884,0.7964083357929098,0.7963868284664752,0.7963903232976883
0.7561326160299958,0.7537645994490216,0.7561326160299958,0.7561085350982625,0.7561124481138948
0.7137914747407785,0.7112102422307813,0.7137914747407785,0.7137652150771432,0.7137694821097313
0.6692789928726272,0.6665281671516291,0.6692789928726272,0.6692509966116232,0.6692555458147217
0.622483819626622,0.6196119883185193,0.622483819626622,0.6224545799724053,0.6224593312018545
0.5732888939064626,0.5703500005437541,0.5732888939064626,0.5732589592076032,0.573263823359538
0.5215711514827054,0.5186249133802504,0.5215711514827054,0.5215411295905814,0.5215460078933705
0.46720121713978113,0.4643135718585715,0.46720121713978113,0.4671717800689472,0.4671765633260796
0.4100430810356812,0.40728666326080876,0.4100430810356812,0.4100149699457182,0.4100195377264684
0.3499537584647044,0.3474084092331578,0.3499537584647044,0.34992778898426635,0.3499320087587726
0.28678293217213896,0.2845362425041243,0.28678293217213896,0.28676000008719266,0.2867637263023768
0.22037257632610868,0.21852046743863912,0.22037257632610868,0.22035366365571468,0.22035673674825162
0.15055656120592303,0.14920390361987967,0.15055656120592303,0.15054274269034704,0.15054498803265481
0.07716023761803556,0.07642151161018226,0.07716023761803556,0.07715268764549991,0.07715391442048236
0.0,0.0,0.0,0.0,0.0
