1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0027,0.0358,-0.0002,0,0,0,-0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0027,0.0358,-0.0002,0,0,0,-0.005,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.0027,0.0358,-0.0002,0,0,0,-0.005,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0063,0,0,0,-0.0027,0.0283,-0.0002,0,0,0,-0.005,0,0,0,0,0,0,0,0
0,0,-0.0063,0,0,0,-0.0027,0.0283,-0.0002,0,0,0,-0.005,0,0,0,0,0,0,0
0,0,0,-0.0063,0,0,0,-0.0027,0.0283,-0.0002,0,0,0,-0.005,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-0.0063,0,0,0,-0.0027,0.0283,-0.0002,0,0,0,-0.005,0,0,0
0,0,0,0,0,0,0,-0.0063,0,0,0,-0.0027,0.0283,-0.0002,0,0,0,-0.005,0,0
0,0,0,0,0,0,0,0,-0.0063,0,0,0,-0.0027,0.0283,-0.0002,0,0,0,-0.005,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-0.0063,0,0,0,-0.0027,0.0383,-0.0002,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.0063,0,0,0,-0.0027,0.0383,-0.0002,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0063,0,0,0,-0.0027,0.0383,-0.0002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
